V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
26125.36328125,25726.795,24698.236,24430.664,24493.646,25291.498,25525.62,26636.625,29523.027,31520.928,32363.86,33652.766,35505.367,35855.37,37868.594,37701.223,37542.055,36714.97,35024.355,32998.47,31429.637,30254.979,28724.727,26461.008,25903.719,25135.734,24436.621,24705.66,24458.582,24817.648,25764.336,27373.02,27751.139,30841.83,32239.125,33741.22,34213.652,37161.742,37154.43,37228.445,37127.414,36978.22,35510.62,34561.086,31460.52,30214.33,28751.32,26943.064
7384.580078125,7114.7905,6522.591,6232.512,5985.4473,5951.2363,5995.0776,5998.375,6811.7744,7208.479,7631.6777,7977.889,8884.731,9593.951,10422.41,10868.746,11282.483,11167.842,10893.904,10236.783,9910.971,9353.064,8821.386,7750.738,7384.1523,6886.119,6383.1562,6204.072,6182.7676,5930.7373,5910.288,6078.639,6336.993,7117.089,7448.1436,8372.664,8876.621,10025.944,10087.095,10806.278,10908.43,11068.678,10969.616,10737.916,9789.765,9329.168,8732.818,7761.5527
510.805908203125,493.7765,475.65002,477.38873,469.48,460.75357,494.41205,481.2126,531.87836,546.64594,565.4729,584.4467,632.9375,644.22314,661.7878,674.25684,681.86664,681.37006,670.26587,634.226,614.40216,591.43854,582.44305,535.53015,523.4819,501.42725,481.45468,471.57736,467.25632,458.9902,492.05756,491.86108,500.70343,549.3658,562.32477,607.0672,609.64636,648.0365,647.0999,663.7337,660.69476,693.52576,662.5019,662.47046,626.9881,585.99066,590.99774,532.1184
170.7860870361328,162.5788,156.52783,145.82298,138.85893,138.07114,135.93442,134.61595,137.03876,137.1271,142.43903,143.55263,151.05606,162.66751,172.11227,179.92056,188.09981,190.8606,194.40617,190.56589,190.87267,188.06825,185.85959,171.59161,168.75133,162.79564,149.4044,146.76665,141.44534,133.7355,131.54576,131.05194,130.06186,136.35469,139.11552,144.55444,153.86673,164.35434,166.46135,183.45148,185.81679,188.14665,195.18144,193.31459,190.55153,185.82329,180.12112,174.61871
12634.697265625,12237.936,11359.968,10936.835,10592.328,10514.288,10565.379,10635.583,11797.155,12422.429,13039.136,13596.468,15060.926,16098.483,17338.627,17986.986,18548.713,18408.86,17970.793,16970.018,16487.91,15602.34,14804.738,13256.315,12665.995,11929.498,11181.732,10901.78,10860.1875,10507.754,10486.835,10753.604,11116.362,12356.311,12813.019,14238.131,14996.193,16731.623,16840.137,17863.045,18033.613,18295.0,18080.215,17711.094,16322.179,15604.923,14705.153,13296.57
1300.0443115234375,1216.6282,1126.4021,1070.3473,1009.3143,976.9418,942.801,937.1433,950.34174,981.2739,1016.0325,1029.1971,1159.6034,1276.7179,1372.4277,1462.6168,1545.8953,1595.0449,1604.2822,1564.0107,1561.9576,1502.385,1455.6776,1359.0312,1295.3865,1204.9501,1094.3593,1057.3068,1016.8875,950.85596,934.5448,926.46747,926.65393,985.9535,999.8696,1078.3286,1171.2952,1289.3837,1327.4342,1499.5897,1526.1263,1567.0444,1634.7126,1595.9014,1564.3164,1493.7994,1444.8419,1377.3386
52041.62109375,49216.9,45385.49,43313.805,41509.484,40237.617,39683.066,39372.754,40476.418,42118.59,43580.89,44663.39,50198.85,55286.2,58911.562,62582.055,65671.59,66860.35,66675.41,64757.504,64302.516,61305.76,59262.207,54672.9,51834.14,48609.867,44445.69,42950.246,42271.883,39280.676,38899.69,38855.586,39494.344,42531.668,42756.945,46932.305,50732.77,55610.688,57404.387,63439.773,64392.207,65595.766,67620.125,66049.125,64113.543,60934.8,58528.016,55168.94
26543.646484375,25964.15,24179.473,23108.477,22136.49,22266.998,22268.785,22796.838,25570.828,27184.926,28733.09,30175.43,33106.266,35391.785,37829.375,39113.742,39720.48,39336.406,38213.56,35767.984,34822.086,32948.156,31112.285,27653.613,26448.195,25375.473,23537.307,23012.918,22643.18,22351.047,22142.527,23158.182,23922.838,27018.102,28221.168,31419.82,32828.035,36824.316,36832.094,38711.4,39121.223,39194.312,38497.418,37530.977,34466.867,32904.473,30642.184,27676.51
1990.4847412109375,1938.5686,1814.0461,1754.5269,1682.7722,1699.109,1714.2112,1760.9242,1966.6788,2102.8435,2202.1606,2332.0264,2561.317,2708.0137,2880.8247,2957.1067,2973.9893,2955.0051,2862.399,2686.5012,2608.8462,2461.4639,2323.6685,2083.7498,1992.752,1914.8313,1776.0208,1749.9739,1726.2234,1698.2562,1718.8337,1809.9106,1855.6104,2109.3071,2183.9219,2432.3877,2518.1184,2791.5874,2809.4675,2907.2292,2942.9453,2968.8054,2873.6812,2811.0015,2592.339,2460.8076,2303.292,2093.7383
5781.17919921875,5604.719,5203.217,5005.792,4791.26,4814.561,4869.161,5015.178,5640.293,6050.8022,6374.7036,6762.8247,7523.7505,8005.2974,8579.819,8837.709,8935.184,8880.498,8580.829,8037.8193,7791.8403,7303.729,6906.9585,6095.646,5778.5938,5524.754,5065.428,4981.3184,4939.3833,4805.677,4839.808,5109.81,5288.607,6088.376,6298.971,7078.322,7405.303,8274.343,8339.727,8687.734,8817.889,8869.018,8633.358,8424.121,7707.559,7321.757,6793.622,6125.9053
13866.9423828125,13650.537,12687.5625,12072.496,11563.445,11624.9795,11606.178,11818.639,13291.701,14106.359,14967.847,15615.719,17067.605,18326.686,19546.336,20307.88,20646.467,20393.45,19885.89,18551.068,18036.9,17164.227,16198.067,14403.26,13820.709,13201.709,12358.077,12024.86,11786.385,11753.754,11513.432,11996.182,12406.0625,13903.367,14638.48,16260.502,17001.18,19150.154,19072.627,20181.715,20295.45,20327.957,20058.664,19487.658,17905.424,17115.844,15986.211,14382.058
629.5531616210938,615.43445,605.4855,588.2986,578.5704,577.5423,573.52466,571.21735,573.9128,571.6969,577.9903,580.26105,586.89813,600.30426,618.3146,630.02747,644.63605,649.46234,657.8539,653.4514,653.39215,654.0526,651.00006,628.8847,625.9104,616.31934,595.3005,590.91785,580.70215,569.64716,565.50574,566.0096,562.126,568.39746,574.20764,577.89154,589.9654,603.22437,607.06464,636.2334,639.20886,644.4941,656.0265,655.8839,654.99506,647.64014,640.8586,634.0138
238.42257690429688,231.78072,213.15616,202.88824,196.2213,194.84564,194.91168,196.93945,223.66182,236.17647,250.24754,261.29388,291.3073,311.11868,337.07327,352.99695,361.73254,359.4077,349.0124,325.90335,316.66605,298.28128,280.50183,249.60536,238.16766,223.80017,206.8045,203.28705,200.86087,194.83438,191.80655,200.87613,206.67519,234.55968,244.35764,273.55804,286.8835,326.10434,327.12155,348.9048,353.74982,356.53607,351.0037,341.8308,312.99893,297.45584,278.0627,250.27002
388.8284912109375,379.0674,408.8349,432.27808,485.37335,577.606,614.56683,678.9757,756.1952,801.5948,830.2191,841.672,847.4497,830.54395,796.8398,756.66626,705.3959,638.7923,578.3547,534.30884,487.40073,456.57996,420.80936,410.92462,389.153,401.8398,404.41348,450.48553,479.37485,508.2412,601.65814,690.5026,720.71814,796.2597,852.7866,852.03735,834.53754,833.9949,812.9599,720.74084,698.9923,635.5941,577.3269,525.1283,469.9973,444.58423,429.05786,409.3681
2313.128173828125,2184.1807,2101.9805,1990.5557,1898.7367,1868.3209,1847.6837,1825.6106,1833.9058,1836.4817,1902.3348,1927.0133,2038.264,2189.6448,2286.45,2372.6506,2491.7732,2538.722,2583.4907,2557.3657,2565.9585,2520.2183,2492.4749,2347.2861,2278.0269,2206.223,2026.0665,1996.2385,1925.8763,1807.7786,1800.8955,1803.9951,1771.1711,1858.5819,1864.1627,1944.9745,2056.2998,2179.3813,2220.8682,2424.066,2474.5806,2506.0686,2614.526,2572.9043,2561.6184,2497.7112,2429.7356,2381.4214
15936.400390625,15722.3955,14818.868,14385.215,13951.453,14097.506,14250.068,14219.455,15726.674,16343.426,16930.854,17502.178,18371.344,19180.736,20332.855,20913.867,21590.674,21224.033,20880.795,19677.316,19019.316,18604.365,17752.08,16226.949,15858.127,15107.478,14676.636,14442.475,14226.908,14073.566,14169.784,14579.141,14615.29,15834.755,16528.232,17757.8,18063.54,19986.207,19890.064,20836.438,20862.363,21180.258,20762.568,20646.406,18924.39,18391.404,17813.184,16260.872
1712.690673828125,1661.0469,1548.0223,1483.6812,1420.1277,1421.1836,1432.6199,1443.2098,1631.4783,1699.1158,1799.7257,1894.2913,2074.65,2211.4795,2361.118,2441.3574,2505.3586,2487.4968,2424.3772,2288.0686,2229.5137,2112.039,1991.1368,1782.5632,1707.467,1634.9241,1500.3617,1472.8893,1453.9651,1416.5134,1421.9075,1484.428,1519.3328,1709.6221,1770.4009,1964.9752,2048.9888,2284.6428,2290.8262,2419.2476,2457.8557,2471.3726,2432.786,2389.386,2196.0847,2099.8384,1966.7655,1781.872
4185.82470703125,3865.6475,3637.248,3347.2087,3068.147,2961.9158,2810.362,2763.1995,2746.4985,2737.2935,2824.4556,2899.3472,3143.5466,3493.046,3781.8638,4022.9727,4377.341,4571.0024,4740.856,4750.8965,4781.7676,4695.5596,4632.186,4286.959,4122.2783,3913.1997,3469.2505,3342.9536,3104.8352,2825.7485,2756.4436,2702.8145,2593.0186,2764.054,2765.8735,2916.849,3193.2568,3483.1345,3610.2876,4186.673,4348.378,4477.6514,4795.349,4753.166,4770.5273,4635.6055,4442.988,4390.024
4685.681640625,4597.7217,4295.3735,4139.7007,4002.6382,3961.7092,3980.3167,3983.0771,4363.299,4559.164,4756.998,4949.761,5403.7036,5758.608,6130.0283,6395.9014,6589.012,6527.081,6416.8286,6059.231,5926.2437,5649.8213,5373.7227,4883.4546,4713.08,4489.7227,4219.378,4117.0894,4082.431,3977.2573,3950.022,4016.7783,4127.128,4524.362,4701.044,5161.234,5398.7246,5971.29,5995.1646,6359.466,6398.3066,6498.004,6432.229,6318.718,5875.2773,5631.358,5367.9014,4890.7144
102733.4453125,100702.38,94794.586,91442.31,88677.7,88492.07,88424.695,88922.81,96516.46,100326.984,104848.39,108038.336,116168.3,123298.52,131336.97,136202.47,140596.61,139125.66,136616.52,129629.54,126738.63,121810.31,116444.68,105950.86,102591.266,98311.08,92883.37,91401.3,90643.234,88308.77,87409.61,89056.23,91188.61,99129.0,102730.19,111128.24,116170.414,128007.055,128118.0,135746.3,136924.42,137761.72,137204.94,134822.27,125449.83,121331.33,115783.56,106136.36
96504.65625,93982.91,88243.66,84731.8,82232.64,81299.875,80995.19,80816.57,86852.31,90129.05,93927.42,96201.32,104827.875,112043.89,119333.8,124734.875,128773.05,128316.81,126712.11,120838.03,118613.86,113719.555,108986.61,100339.41,96879.73,92112.31,86497.48,83968.68,83921.53,81374.91,80104.96,80762.984,83122.28,89144.77,92130.95,100014.39,105523.84,115600.97,116316.43,124516.39,125317.66,126959.39,127207.05,125034.336,118057.79,113425.805,108412.484,99766.914
89077.5234375,86753.516,81576.375,78377.26,76101.33,75277.19,74995.95,74828.695,80330.945,83303.195,86754.83,88769.78,96515.12,103038.78,109698.31,114560.78,118223.94,117796.66,116358.43,111032.516,108996.41,104621.875,100331.94,92492.85,89391.64,85041.55,79984.38,77693.91,77618.58,75353.484,74175.96,74778.83,76909.16,82320.24,85076.05,92169.35,97153.42,106315.9,106907.78,114389.08,115092.17,116571.91,116798.35,114841.97,108508.86,104338.16,99824.664,91940.35
5885.5302734375,5465.043,5123.2417,4785.8037,4398.0596,4208.402,3965.2202,3942.4548,3811.5645,3827.0515,3818.482,3957.432,4183.9126,4628.7495,5001.238,5289.113,5794.65,6085.1562,6396.245,6464.801,6537.4473,6474.049,6456.7876,6064.051,5794.8965,5543.5674,4959.992,4768.3135,4401.0254,4058.163,3931.2036,3859.1362,3695.7563,3858.3916,3780.1626,3968.0215,4255.676,4602.996,4780.714,5497.0596,5762.8345,5957.3433,6428.8857,6421.1035,6553.7544,6410.548,6190.9175,6171.497
43262.125,40845.695,38924.72,36747.863,34867.777,34015.117,33400.22,33038.215,33231.062,33454.645,34425.5,35038.83,37354.83,40615.03,42653.367,44588.54,47027.19,48113.758,49087.742,48492.777,48823.164,47579.75,46967.566,44049.375,42733.92,41071.89,37584.555,36645.84,35227.633,33119.508,32918.375,32524.326,32087.102,33695.836,33784.74,35561.008,37895.133,40597.1,41376.168,45758.605,46638.688,47483.78,49617.55,48960.277,48704.26,47296.965,45910.625,44809.69
1235.9317626953125,1197.3635,1155.7312,1124.2572,1087.415,1071.1346,1074.6954,1066.1145,1088.6543,1101.089,1135.7178,1159.6385,1228.0668,1293.8651,1327.0062,1377.8348,1418.4221,1428.4078,1427.709,1396.9396,1394.3158,1356.0846,1327.5446,1269.7477,1230.5874,1204.4263,1135.3555,1116.2515,1101.7975,1062.6016,1060.486,1062.5901,1064.0837,1119.8629,1127.565,1180.4065,1231.7318,1297.1006,1313.9037,1385.1299,1401.045,1419.2855,1443.0726,1419.3552,1392.2948,1350.9537,1322.2804,1275.266
21246.501953125,20811.57,19588.336,18915.05,18179.867,18334.58,18520.582,18642.34,20624.432,21505.758,22537.537,23424.158,24836.373,26251.926,27903.467,28732.965,29561.19,29186.541,28533.094,26932.652,26176.36,25298.422,24052.355,21788.314,21091.736,20325.59,19183.373,18918.066,18592.232,18357.035,18376.895,18969.766,19270.059,21175.883,22072.105,23922.97,24701.396,27291.457,27196.023,28625.54,28856.988,29014.207,28603.934,28194.635,25928.406,25087.846,23987.188,21821.953
1815.603271484375,1746.9094,1666.5338,1582.4658,1491.2317,1477.5994,1499.0216,1451.4111,1557.6818,1591.7593,1644.5151,1680.3931,1796.879,1888.0066,2000.9779,2123.1943,2208.4136,2206.3389,2232.0627,2130.1965,2120.0676,2078.8506,1993.602,1873.6506,1831.7322,1741.4456,1609.776,1565.585,1527.9282,1468.4677,1452.7744,1487.8413,1496.7849,1563.6736,1626.2552,1712.3262,1801.8229,1916.108,1957.3441,2127.0327,2135.6,2209.374,2218.8853,2214.6575,2114.4111,2038.2927,1993.541,1839.004
2635.333251953125,2465.5923,2359.7449,2143.8643,2022.9349,1989.6816,1945.6178,1902.807,1922.0599,1897.6765,1981.5789,2025.8198,2155.931,2336.4036,2489.04,2643.0757,2821.5842,2872.2788,2979.2632,2942.1812,2961.3499,2923.292,2886.2449,2652.6565,2600.5461,2490.3215,2238.3657,2190.1025,2053.9421,1898.0818,1870.1118,1852.7871,1806.949,1906.0487,1952.5935,2021.2838,2182.962,2329.7632,2382.0852,2721.4526,2764.8164,2840.278,2972.8735,2952.378,2956.3433,2860.424,2769.252,2709.7778
102658.6171875,100630.6,94725.49,91374.97,88613.17,88427.26,88360.58,88856.836,96445.7,100254.125,104772.38,107959.99,116084.43,123209.5,131242.84,136106.7,140497.98,139027.69,136521.36,129536.945,126648.0,121723.4,116362.04,105874.36,102517.125,98237.65,92816.14,91335.125,90578.266,88245.08,87345.234,88989.33,91120.53,99055.32,102654.6,111048.1,116086.266,127916.234,128026.836,135650.42,136827.25,137664.38,137107.97,134726.33,125360.94,121244.484,115701.32,106059.54
1947.8936767578125,1859.8488,1751.4222,1682.3259,1606.1031,1576.1143,1540.5343,1541.4967,1566.2778,1616.761,1662.5746,1672.6208,1824.1504,1977.8165,2092.0156,2203.7568,2283.0593,2338.22,2341.812,2270.4458,2257.717,2193.8599,2145.2393,2020.1301,1938.4791,1840.7716,1700.2024,1653.5293,1621.8851,1555.6267,1519.3369,1517.9094,1528.1292,1612.8983,1634.725,1735.0303,1850.0531,2014.3761,2037.7885,2238.888,2265.6096,2303.5317,2370.9937,2326.6052,2272.3716,2195.6255,2135.0024,2032.5876
3334.8095703125,3174.6829,3042.26,2827.1484,2684.0493,2623.9731,2594.6953,2556.5369,2617.3027,2608.4448,2714.9038,2775.0532,2929.4382,3191.6785,3340.927,3516.342,3706.7078,3751.454,3826.456,3750.1084,3771.806,3676.152,3642.4463,3351.4604,3284.0588,3194.7458,2910.2393,2850.6875,2730.3604,2544.6965,2516.5615,2472.434,2443.0723,2625.3074,2671.2524,2785.3296,2978.4492,3218.7134,3247.4143,3599.4956,3661.225,3704.0623,3852.7854,3807.8403,3755.259,3647.354,3534.7542,3424.3796
3255.94189453125,3146.7559,2910.249,2794.8901,2701.832,2667.6765,2691.8562,2675.8372,2963.9185,3115.3904,3266.1648,3394.439,3772.7688,4073.9927,4377.6064,4571.896,4728.3145,4691.6294,4605.3696,4364.994,4251.4756,4016.457,3831.1692,3417.3271,3270.1914,3061.8335,2858.0532,2761.4712,2773.3604,2671.6558,2652.099,2691.8828,2814.909,3085.1914,3206.305,3585.3096,3793.4438,4223.4907,4255.3784,4554.748,4576.4814,4648.579,4637.6865,4548.173,4210.6504,4022.8916,3787.1628,3410.415
3106.57373046875,3017.7788,2809.6228,2709.5085,2629.9702,2602.4893,2622.7285,2619.217,2884.1528,3023.158,3154.5618,3282.9106,3619.1077,3868.0063,4146.916,4308.769,4445.3735,4407.94,4322.8667,4104.545,3996.7905,3787.3367,3612.2134,3251.6765,3120.7979,2941.909,2769.7954,2696.412,2691.061,2603.1057,2602.266,2642.5386,2728.5598,2999.356,3105.7817,3437.5808,3611.359,4008.2603,4035.6433,4285.529,4311.593,4379.6724,4343.85,4266.1255,3955.737,3787.3838,3586.389,3252.4243
1036.1856689453125,999.1914,951.45886,897.9387,857.52936,834.1309,829.1998,816.42163,837.54047,845.5287,877.39886,901.5579,969.68396,1045.4203,1086.8567,1143.2385,1195.4508,1208.9597,1222.3966,1189.2753,1195.9443,1152.4149,1127.8624,1057.708,1031.4514,997.5676,919.74414,902.3402,870.293,828.4413,818.8629,806.1602,801.42615,854.6131,870.74713,922.6831,975.9572,1053.9526,1069.3479,1163.153,1176.4879,1198.7292,1226.6456,1209.2566,1187.2172,1142.0195,1110.7217,1074.323
32444.140625,31744.324,29677.438,28530.094,27917.645,27567.598,27303.041,27465.54,29388.21,30629.744,31921.717,32795.766,36222.473,38741.32,41374.125,43226.5,44522.383,44281.156,43599.043,41542.258,40708.81,38714.3,37224.945,33890.168,32590.984,30834.258,29163.553,28379.19,28515.074,27538.934,27053.252,27259.326,28122.57,30445.3,31330.523,34329.188,36274.535,40086.203,40419.81,43077.45,43327.195,43765.004,43846.4,42902.527,40407.617,38853.28,36811.254,33938.4
135.7035675048828,131.3371,117.35171,111.52644,106.903534,104.10756,106.36838,107.71825,129.08449,140.7352,150.79643,163.06406,190.96104,203.99562,222.29617,232.24817,237.1885,235.43918,226.51755,208.96625,201.23224,185.35472,169.86136,146.78957,136.97385,126.418594,115.14157,113.81291,111.18837,104.5307,105.548386,112.74211,116.64431,143.29655,148.54948,172.533,182.81976,212.24066,214.64877,227.27136,232.78152,235.23572,227.33324,219.5234,197.6337,183.18227,167.66747,147.25359
31842.09765625,31162.861,29155.383,28043.57,27446.252,27108.453,26851.094,27011.836,28890.004,30099.393,31353.422,32209.266,35541.656,37982.77,40553.71,42349.9,43614.39,43370.695,42705.977,40700.71,39890.344,37945.434,36495.336,33245.293,31987.742,30276.15,28657.684,27899.191,28027.64,27081.523,26610.94,26812.727,27650.727,29914.559,30781.56,33697.85,35586.33,39302.176,39623.727,42203.926,42444.85,42873.08,42946.28,42028.746,39593.684,38081.0,36097.69,33296.08
5101.271484375,4745.9,4438.2812,4169.897,3844.313,3708.9663,3478.0127,3487.1255,3372.3008,3422.5303,3417.8723,3501.6138,3685.0474,4074.8557,4458.9814,4719.1167,5132.7285,5372.8677,5611.6777,5617.758,5671.3423,5628.0947,5606.64,5234.151,5026.2397,4782.1562,4306.293,4117.695,3846.7615,3586.9714,3442.0918,3365.7622,3260.4968,3402.1162,3366.8813,3485.9817,3786.3284,4132.8506,4242.4106,4897.7803,5086.5483,5254.2573,5649.1597,5635.081,5714.9014,5596.8203,5420.526,5341.825
17135.0625,16010.431,15091.38,14281.677,13335.129,12918.637,12292.479,12290.561,12068.334,12240.291,12356.1,12571.361,13325.307,14614.874,15765.396,16579.799,17764.39,18468.613,19098.518,18972.1,19095.488,18871.969,18700.463,17553.883,16909.287,16095.944,14632.408,14059.638,13321.879,12562.328,12196.83,11981.395,11688.504,12194.5205,12150.166,12648.318,13619.424,14789.451,15093.539,17158.441,17658.355,18130.648,19262.275,19112.273,19254.027,18802.82,18230.738,17865.682
35154.1484375,33774.08,31509.348,30270.475,29158.053,28490.105,28134.557,28002.25,28964.8,30045.037,31038.973,31631.207,34870.242,37817.195,40077.76,42308.66,43929.992,44469.086,44338.844,42727.715,42432.945,40692.848,39346.656,36687.824,35178.9,33226.504,30889.156,29929.914,29587.44,28276.318,27777.66,27728.824,28351.857,30070.994,30542.793,33071.21,35316.17,38426.77,39227.72,42717.914,43079.96,43831.973,44753.746,43825.914,42457.49,40582.42,39163.49,36856.766
355.5088806152344,345.73538,317.33887,301.78424,290.98642,290.4605,287.70685,291.70435,327.05286,343.9735,365.83844,380.1107,422.7717,452.77332,494.04004,517.52246,538.53894,532.95984,518.46204,484.8266,470.26575,445.42352,421.44998,371.56747,354.25433,333.93958,306.4609,302.50327,300.0982,287.0905,281.4106,290.48553,302.08533,341.28668,356.6577,396.07126,419.85837,476.7787,478.74475,513.84326,522.173,524.67816,521.90594,508.94742,464.76016,444.85095,416.91656,375.13892
2298.493408203125,2258.0967,2135.942,2070.912,1988.5142,2013.0094,2021.0865,2077.9963,2265.895,2399.728,2503.645,2620.977,2813.4917,2982.8552,3145.5232,3223.008,3247.4463,3210.9138,3131.933,2953.3765,2890.8435,2754.2793,2637.1348,2375.8315,2294.6616,2229.7886,2093.9124,2057.1877,2032.4138,2012.9523,2015.2294,2099.4434,2150.4946,2383.9512,2470.8186,2708.411,2800.258,3073.6213,3077.12,3187.7856,3208.8035,3210.3887,3148.1746,3089.5908,2862.265,2761.8281,2599.7102,2386.631
2068.327880859375,1944.4932,1823.9805,1750.4785,1651.8284,1608.9382,1541.1599,1542.0798,1508.7311,1553.6395,1574.0403,1591.3022,1714.3802,1856.454,1998.2703,2097.1667,2228.6072,2305.461,2372.2988,2325.2546,2337.3853,2298.583,2258.7256,2148.6848,2064.734,1938.9926,1780.1301,1715.0573,1641.627,1568.7811,1537.9384,1526.4243,1503.7921,1543.8999,1553.2705,1629.6978,1741.6243,1875.3433,1912.3768,2164.1218,2199.3662,2276.526,2390.7644,2363.564,2371.1157,2300.1824,2237.6187,2167.5562
